MIAC Championships,Josh Schaffer,St. Thomas,27:46.3,92,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Spencer Castillo,St. Olaf,27:46.7,93,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Colton Rod,St. Olaf,27:47.8,94,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Friebe,Saint John's,27:48.0,95,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chas Karch,Carleton,27:48.3,96,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Duncan Secor,Saint John's,27:51.8,97,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew LeBeau,Hamline,27:52.1,98,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jacob Hoerger,Carleton,27:55.2,99,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Kyle Wagener,St. Olaf,27:57.4,100,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Aron Block,St. Olaf,27:58.9,101,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Colin Sheehan,Saint Mary's,28:00.8,102,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Bjorn Thompson,St. Olaf,28:04.1,103,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Erik Gartland,St. Olaf,28:06.0,104,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Bach,St. Thomas,28:07.2,105,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Bryan Hulse,St. Olaf,28:07.7,106,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Michael Kuhlman,Saint John's,28:08.3,107,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Carlson,Gustavus Adolphus,28:09.1,108,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Hart Hornor,Carleton,28:10.0,109,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Mueller,St. Olaf,28:10.3,110,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Ritter,Bethel,28:11.0,111,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Trujillo,Saint John's,28:13.3,112,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ahmed Nur,Augsburg,28:14.6,113,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thor Laack-Veeder,Carleton,28:16.7,114,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Winegardner,Saint Mary's,28:17.2,115,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Powley,St. Olaf,28:17.8,116,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Luke Rustad,Bethel,28:18.8,117,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Fransen,Gustavus Adolphus,28:20.6,118,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Spencer Hinseth,Bethel,28:21.8,119,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Byrnes,Augsburg,28:22.3,120,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Michael Roth,St. Olaf,28:22.5,121,2012,"Como Park Golf Course, St. Paul"
